Category,SubCategory,Title,Original Price,Discount Price,Discount,Seller Name,Number of Ratings,Positive Seller Ratings,Ship On Time,Chat Response Rate,Delivery Type,Cash On Delivery,Flagship Store
Electronics Devices,https://www.daraz.com.bd/smartphones/,Samsung A54 5G Smartphone - Unofficial,48990,44989,8,Alapon Computer,1,89,100,97,Free Delivery,Cash on Delivery Available,No
Electronics Devices,https://www.daraz.com.bd/smartphones/,iphone 15 Pro Max 256GB (TRA) Smartphone - Unofficial,199990,187103,6,Alapon Computer,0,89,100,97,Free Delivery,Cash on Delivery Available,No
Electronics Devices,https://www.daraz.com.bd/smartphones/,iPhone 13 256GB (USA) Smartphone - Unofficial,111999,99989,11,Alapon Computer,0,89,100,97,Free Delivery,Cash on Delivery Available,No
Electronics Devices,https://www.daraz.com.bd/smartphones/,IPhone 13 128 GB Smartphone - Unofficial,103990,88990,14,Alapon Computer,5,89,100,97,Free Delivery,Cash on Delivery Available,No
Electronics Devices,https://www.daraz.com.bd/smartphones/,Samsung Galaxy A54 [8+256] (Unofficial),43999,41815,5,Phone Palace,0,0,0,98,Free Delivery,Cash on Delivery Available,No
Electronics Devices,https://www.daraz.com.bd/smartphones/,Realme 2 Pro - Smartphone Mobile Phone 6.3 - 8GB RAM - 128GB ROM - 16MP + 16MP Camera - Black Sea - 3500 mAh battery,29990,22750,24,Daraz,20,89,100,0,Standard Delivery,Cash on Delivery Available,No
Electronics Devices,https://www.daraz.com.bd/smartphones/,"Nokia G20 DS (4/64 GB) Smart Phone, 6.5 inch Display, 5050 mAh Non Removable Battery, Mediatek G35 processor",16999,13650,20,Nokia,6,89,100,96,Standard Delivery,Cash on Delivery Available,No
Electronics Devices,https://www.daraz.com.bd/featurephones/,Symphony A30 Feature Phone,1080,1031,5,SYMPHONY,400,88,100,94,Free Delivery,Cash on Delivery Available,Yes
Electronics Devices,https://www.daraz.com.bd/featurephones/,Vega V7 Tiger Feature Button Mobile Phone 1000mAh Battery,1290,940,27,5Star & Vega,290,87,100,92,Standard Delivery,Cash on Delivery Available,Yes
Electronics Devices,https://www.daraz.com.bd/featurephones/,Symphony T93 Feature Phone,1500,1453,3,SYMPHONY,38,88,100,94,Free Delivery,Cash on Delivery Available,Yes
Electronics Devices,https://www.daraz.com.bd/featurephones/,Symphony D89,1400,1357,3,SYMPHONY,11,88,100,94,Free Delivery,Cash on Delivery Available,Yes
Electronics Devices,https://www.daraz.com.bd/featurephones/,Symphony Bl120 Mobile Phone,1360,1272,6,SYMPHONY,48,88,100,94,Free Delivery,Cash on Delivery Available,Yes
Electronics Devices,https://www.daraz.com.bd/featurephones/,"Gphone-Model-GP33- 1.8"" Display - Dual Sim, 1 year warranty-Green",1400,942,33,GPHONE,54,82,0,50,Free Delivery,Cash on Delivery Available,No
